File	Avg_length	Median_length	Char_types	Char_tokens	Char_ttr	Types	Tokens	TTR	H
abk	7.291356184798808	7.0	52	9785	0.0053	788	1342	0.587183308494784	8.891744706642427
amp	5.5195	5.0	34	55195	0.0006	3326	10000	0.3326	9.78511394477366
aey	4.8814	5.0	34	48814	0.0007	2661	10000	0.2661	9.247336108936713
apu	7.4039	7.0	37	74039	0.0005	3117	10000	0.3117	9.665702916038441
bmi	3.4078947368421053	3.0	50	259	0.1931	61	76	0.8026315789473685	5.605708627822881
bsn	5.8186	5.0	51	58186	0.0009	2601	10000	0.2601	8.914585856167301
gry	2.96768569103801	2	55	25531	0.0022	1399	8603	0.1626176915029641	8.078043218969313
eus	6.2203	6.0	51	62203	0.0008	4632	10000	0.4632	10.970764872092229
ape	5.5157	5.0	35	55157	0.0006	2417	10000	0.2417	8.939453259042908
bsk	4.906976744186046	5.0	47	1266	0.0371	178	258	0.689922480620155	7.0789190448572645
ram	3.647	3.0	46	36470	0.0013	1378	10000	0.1378	7.770737431992887
tzm	4.533590308370044	5.0	42	8233	0.0051	679	1816	0.3738986784140969	7.956074864509342
cha	4.6441	4.0	40	46441	0.0009	2468	10000	0.2468	8.63389875808806
ckt	7.8414	7.0	48	78414	0.0006	4251	10000	0.4251	10.505717060388399
zoc	6.085599194360523	6	39	6043	0.0065	567	993	0.5709969788519638	8.24900049697532
dgz	4.6266	4.0	31	46266	0.0007	2172	10000	0.2172	9.098511807741113
hae	6.0167	6.0	38	60167	0.0006	3470	10000	0.347	10.254570621389401
arz	4.5356	4.0	304	45356	0.0067	5454	10000	0.5454	11.315844076318204
fij	3.8371	3.0	34	38371	0.0009	1436	10000	0.1436	7.5190784476895764
fin	6.512	6.0	54	65120	0.0008	5460	10000	0.546	11.288101781916358
gni	6.220823798627002	6.0	35	5437	0.0064	384	874	0.43935926773455375	7.095405937930961
khk	5.5692	5.0	64	55692	0.0011	3739	10000	0.3739	10.352911692267377
hau	4.182	4.0	47	41820	0.0011	2215	10000	0.2215	8.90447733155285
heb	4.0429	4.0	105	40429	0.0026	4432	10000	0.4432	10.708473764723081
hin	3.1274	3.0	533	31274	0.017	3616	10000	0.3616	10.32156651280461
hix	5.3626	4.0	33	53626	0.0006	1572	10000	0.1572	8.022355104565165
hnj	3.7830290010741137	4	33	10566	0.0031	487	2793	0.17436448263515933	7.7777194939699195
qvi	8.0425	8.0	43	80425	0.0005	4005	10000	0.4005	10.549322745743279
imn	5.252873563218391	5.0	31	1828	0.017	233	348	0.6695402298850575	7.609092489492953
ind	5.5596	5.0	45	55596	0.0008	3400	10000	0.34	10.018409248136733
kal	11.0263	10.0	41	110263	0.0004	6920	10000	0.692	12.16762446602919
gyd	8.075612353567625	7	29	7583	0.0038	674	939	0.7177848775292864	8.996582560730205
kio	2.80188679245283	2.0	46	594	0.0774	96	212	0.4528301886792453	5.1796833419362684
kor	3.1344	3.0	976	31344	0.0311	6143	10000	0.6143	11.939421652684658
kgo	5.323170731707317	5.0	46	1746	0.0263	176	328	0.5365853658536586	6.62759880061751
kut	3.522222222222222	3.0	36	317	0.1136	44	90	0.4888888888888889	4.580898983190944
laj	3.8903	4.0	34	38903	0.0009	2232	10000	0.2232	8.907011016747642
lvk	4.781303116147309	5	30	8439	0.0036	732	1765	0.41473087818696885	8.588995331681087
dni	6.888888888888889	6.0	28	1736	0.0161	184	252	0.7301587301587301	7.284908249233824
lue	7.214638157894737	7.0	33	8773	0.0038	587	1216	0.48273026315789475	8.35776891182995
ayz	3.486284289276808	4.0	28	2796	0.01	257	802	0.3204488778054863	7.106099858453751
myh	7.959349593495935	7.0	45	1958	0.023	160	246	0.6504065040650406	6.984868570852893
cmn	1.6463	1.0	2203	16463	0.1338	4123	10000	0.4123	10.538132560815244
arn	5.4127	5.0	41	54127	0.0008	2527	10000	0.2527	8.552986499898804
vma	8.635714285714286	7.0	28	32643	0.0009	1523	3780	0.4029100529100529	9.441939456880888
mph	5.9712	5.0	38	59712	0.0006	1883	10000	0.1883	8.052379912381475
ote	3.529783869267264	3	55	20088	0.0027	1567	5691	0.27534703918467757	8.523934728600732
ell	5.1452	4.0	89	51452	0.0017	4371	10000	0.4371	10.325613462731335
naq	4.0787	3.0	45	40787	0.0011	2563	10000	0.2563	8.874514258215981
tur	6.0443	6.0	63	60443	0.001	5321	10000	0.5321	11.313640447332801
kat	5.2935	5.0	109	52935	0.0021	4859	10000	0.4859	10.96187352469618
kan	4.6498	4.0	528	46498	0.0114	4634	10000	0.4634	11.243128210018744
mya	2.3398	2.0	459	23398	0.0196	2003	10000	0.2003	8.87815726268283
jpn	1.866	1.0	1234	18660	0.0661	2935	10000	0.2935	9.386809561392349
pwn	5.0995828988529714	4.0	35	9781	0.0036	540	1918	0.28154327424400416	7.4097959367699975
gug	5.5114	5.0	55	55114	0.001	3125	10000	0.3125	9.682008162988346
myp	5.174071689203692	5	32	24106	0.0013	1196	4659	0.2567074479502039	8.349237655068912
crk	8.352941176470589	7	31	3550	0.0087	288	425	0.6776470588235294	7.804320522055016
plt	5.7412	5.0	54	57412	0.0009	3329	10000	0.3329	9.695887204747635
jac	4.9329	5.0	38	49329	0.0008	2252	10000	0.2252	8.682104229110557
rma	6.367989056087551	6	32	4655	0.0069	468	731	0.640218878248974	8.49039677731753
rap	3.2394468704512374	3.0	33	8902	0.0037	498	2748	0.1812227074235808	7.201949652396922
rus	5.3998	5.0	80	53998	0.0015	4628	10000	0.4628	10.789437014768975
sag	3.4332	3.0	49	34332	0.0014	1016	10000	0.1016	7.016440797936004
mig	3.0991	3.0	50	30991	0.0016	1321	10000	0.1321	7.3916731611999245
xsu	3.6019	3.0	49	36019	0.0014	1331	10000	0.1331	7.4064519579333385
spa	4.7114	4.0	55	47114	0.0012	3742	10000	0.3742	9.804683594376698
fra	4.7584	4.0	87	47584	0.0018	3709	10000	0.3709	9.931954739652573
eng	4.5598	4.0	48	45598	0.0011	3347	10000	0.3347	9.761113489538122
deu	5.4705	5.0	81	54705	0.0015	3956	10000	0.3956	10.186548639106194
spp	3.525274725274725	3	57	1604	0.0355	192	455	0.421978021978022	6.76025836334315
swh	5.5543	5.0	36	55543	0.0006	3449	10000	0.3449	9.881286728068641
tgl	4.8821	4.0	56	48821	0.0011	3325	10000	0.3325	9.096492000649029
tml	5.579234972677596	5	33	1021	0.0323	126	183	0.6885245901639344	6.6449781501631975
tha	2.8402	3.0	491	28402	0.0173	2329	10000	0.2329	9.387600028511374
tiw	5.791867677463818	5	34	8404	0.004	534	1451	0.3680220537560303	8.174023048022867
vie	3.342	3.0	113	33420	0.0034	2100	10000	0.21	9.530603075860618
wyb	8.002155172413794	7.0	30	7426	0.004	596	928	0.6422413793103449	8.739658150878494
wba	5.992348440258976	6	34	30543	0.0011	1419	5097	0.27839905826957034	9.133694840401967
pav	3.7335504885993487	3.0	27	11462	0.0024	556	3070	0.18110749185667752	7.520951361191976
pes	3.8506	4.0	153	38506	0.004	3895	10000	0.3895	10.421565654171271
kew	4.9333	4.0	32	49333	0.0006	2336	10000	0.2336	9.212611939210696
kjq	3.185907046476762	3.0	52	17000	0.0031	888	5336	0.1664167916041979	6.552513467845861
wic	9.59851851851852	7	30	6479	0.0046	443	675	0.6562962962962963	8.374274522294996
mzh	5.194	5.0	44	51940	0.0008	2716	10000	0.2716	8.71719888064802
yad	7.6577	7.0	49	76577	0.0006	4199	10000	0.4199	10.407037752427398
yaq	5.1526	5.0	31	51526	0.0006	2346	10000	0.2346	8.993095194106619
yor	3.5672	3.0	62	35672	0.0017	2170	10000	0.217	8.707327018644134
zul	7.5767	7.0	44	75767	0.0006	3837	10000	0.3837	10.824807768989125
